bin,left,right
0,0.053,0.06368339056292595
1,0.06368339056292595,0.07624869775373902
2,0.07624869775373902,0.08962685324632262
3,0.08962685324632262,0.10439837209783755
4,0.10439837209783755,0.1179401591519601
5,0.1179401591519601,0.13081261900455501
6,0.13081261900455501,0.14263018094703478
7,0.14263018094703478,0.15414113339951457
8,0.15414113339951457,0.16734184545380856
9,0.16734184545380856,0.1810604048393757
10,0.1810604048393757,0.19338303862753914
11,0.19338303862753914,0.20655825282566287
12,0.20655825282566287,0.2200357061609173
13,0.2200357061609173,0.23272910275591074
14,0.23272910275591074,0.24600333936258234
15,0.24600333936258234,0.25805530907022906
16,0.25805530907022906,0.26883291556014294
17,0.26883291556014294,0.2820327462270682
18,0.2820327462270682,0.2980990713356312
19,0.2980990713356312,0.31
